스타벅스 명,스타벅스 주소,역 명,운영기관,역 주소,노선명
가산디지털,서울특별시 금천구 가산디지털1로 168,가산디지털단지,"서울교통공사, 한국철도공사",서울특별시 금천구 벚꽃로 309,"7호선, 경부선"
가산디지털단지역,서울특별시 금천구 벚꽃로 298,가산디지털단지,"서울교통공사, 한국철도공사",서울특별시 금천구 벚꽃로 309,"7호선, 경부선"
가산에스케이,서울특별시 금천구 가산디지털1로 171,가산디지털단지,"서울교통공사, 한국철도공사",서울특별시 금천구 벚꽃로 309,"7호선, 경부선"
가산케이에스,서울특별시 금천구 벚꽃로36길 30,가산디지털단지,"서울교통공사, 한국철도공사",서울특별시 금천구 벚꽃로 309,"7호선, 경부선"
마리오아울렛,서울특별시 금천구 벚꽃로 266,가산디지털단지,"서울교통공사, 한국철도공사",서울특별시 금천구 벚꽃로 309,"7호선, 경부선"
강남2,서울특별시 서초구 서초대로77길 27,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
강남GT타워,서울특별시 서초구 서초대로 411,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
강남R,서울특별시 강남구 강남대로 390,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
강남비젼타워,서울특별시 강남구 테헤란로2길 27,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
강남삼성타운,서울특별시 서초구 서초대로78길 24,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
강남역신분당역사,서울특별시 강남구 강남대로  396,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
강남역우송빌딩,서울특별시 서초구 서초대로73길 7,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
강남오거리,서울특별시 강남구 봉은사로2길 39,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
국기원사거리,서울특별시 강남구 테헤란로 125,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
몬테소리,서울특별시 서초구 강남대로 399,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
서초우성사거리,서울특별시 서초구 강남대로 343,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
서초파라곤,서울특별시 서초구 서초대로74길 29,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
건국대,서울특별시 광진구 능동로 117 (화양동),건대입구역,서울교통공사,"서울특별시 광진구 아차산로 243(화양동), 서울특별시 광진구 능동로 지하110(화양동)","2호선, 7호선"
건대스타시티,서울특별시 광진구 아차산로 262 (자양동),건대입구역,서울교통공사,"서울특별시 광진구 아차산로 243(화양동), 서울특별시 광진구 능동로 지하110(화양동)","2호선, 7호선"
건국클래식,서울특별시 광진구 능동로 90 (자양동) 더 클래식500,건대입구역,서울교통공사,"서울특별시 광진구 아차산로 243(화양동), 서울특별시 광진구 능동로 지하110(화양동)","2호선, 7호선"
